Semester,Industror,Course,Section,Title,Course Count,Course Mean,Instr Count,Instr Mean,Response Percentage,Year
Summer,"Fazendeiro, Fatema",LA245,A1,Introduction to Law,50,4.82,51,4.9,91%,2015
Summer,"Chang, Kabrina",LA245,A2,Introduction to Law,37,4.62,37,4.73,82%,2015
Fall,"Chang, Kabrina",LA245,B1,Introduction to Law,34,4.59,34,4.76,89%,2015
Spring,"Spooner, Rachel",LA245,B1,Introduction to Law,41,4.83,41,4.93,91%,2015
Summer,"Fazendeiro, Fatema",LA245,B1,Introduction to Law,26,4.5,27,4.63,84%,2015
Fall,"Randall, David",LA245,C1,Introduction to Law,32,4.78,32,5,84%,2015
Spring,"Randall, David",LA245,C1,Introduction to Law,34,4.38,34,4.74,94%,2015
Fall,"Spooner, Rachel",LA245,D1,Introduction to Law,35,4.74,35,4.89,85%,2015
Spring,"Powers, Gina",LA245,D1,Introduction to Law,44,4.61,43,4.86,83%,2015
Fall,"Powers, Gina",LA245,E1,Introduction to Law,47,4.64,48,4.83,89%,2015
Spring,"Fazendeiro, Fatema",LA245,E1,Introduction to Law,40,4.78,40,4.88,85%,2015
Fall,"Randall, David",LA245,F1,Introduction to Law,40,4.65,40,4.8,95%,2015
Spring,"Kalisker, Judy",LA245,F1,Introduction to Law,39,4.56,39,4.85,85%,2015
Fall,"Powers, Gina",LA245,G1,Introduction to Law,38,4.84,39,4.92,93%,2015
Spring,"Fazendeiro, Fatema",LA245,G1,Introduction to Law,35,4.69,34,4.91,88%,2015
Fall,"Luz, Kathleen",LA245,H1,Introduction to Law,32,4.63,33,4.7,78%,2015
Fall,"Kalisker, Judy",LA245,I1,Introduction to Law,38,4.45,38,4.76,78%,2015
Fall,"Spooner, Rachel",LA245,J1,Introduction to Law,39,4.9,38,4.97,81%,2015
Fall,"Spooner, Rachel",LA346,A1,Law and Ethics,19,4.95,19,4.95,83%,2015
Spring,"Spooner, Rachel",LA346,A1,Law and Ethics,24,4.71,24,4.96,92%,2015
Fall,"Randall, David",LA349,A1,"Intellectual Property, the Internet, and Public Policy",19,4.79,18,4.89,83%,2015
Spring,"Randall, David",LA349,A1,"Intellectual Property, the Internet, and Public Policy",19,4.47,19,4.89,95%,2015
Spring,"Chang, Kabrina",LA355,A1,Employment Law and Public Policy,21,4.67,21,4.76,84%,2015
Fall,"Powers, Gina",LA360,A1,Real Estate Law,21,4.62,21,4.76,95%,2015
Spring,"Powers, Gina",LA360,A1,Real Estate Law,28,4.71,28,4.79,82%,2015
Spring,"Powers, Gina",LA450,A1,Advanced Business Law,17,4.82,17,5,89%,2015
Fall,"Kurt, Didem",MK323,A1,Marketing Management,42,4.24,43,4.56,88%,2015
Spring,"Utter, Deborah",MK323,A1,Marketing Management,34,4.29,34,4.32,87%,2015
Fall,"Zervas, Georgios",MK323,A2,Marketing Management,45,4.4,45,4.64,94%,2015
Spring,"Trudel, Remi",MK323,A2,Marketing Management,44,4.61,44,4.86,94%,2015
Fall,"Ehrenreich, Michelle",MK323,A3,Marketing Management,45,4.31,45,4.4,94%,2015
Spring,"Hibbard, Jonathan",MK323,A3,Marketing Management,43,4.47,43,4.63,98%,2015
Fall,"Trudel, Remi",MK323,A4,Marketing Management,46,4.65,46,4.85,96%,2015
Fall,"Meier, Carol",MK323,A5,Marketing Management,44,4.2,44,4.43,94%,2015
Fall,"Hibbard, Jonathan",MK323,A6,Marketing Management,37,4.76,37,4.81,100%,2015
Fall,"Kurt, Didem",MK323,B1,Marketing Management,45,4.62,45,4.84,90%,2015
Spring,"Hibbard, Jonathan",MK323,B1,Marketing Management,37,4.46,37,4.73,93%,2015
Fall,"Zervas, Georgios",MK323,B2,Marketing Management,46,4.61,47,4.62,92%,2015
Spring,"Meier, Carol",MK323,B2,Marketing Management,46,4.24,46,4.24,94%,2015
Fall,"Hibbard, Jonathan",MK323,B3,Marketing Management,41,4.59,40,4.88,91%,2015
Spring,"Utter, Deborah",MK323,B3,Marketing Management,42,4.45,42,4.57,93%,2015
Fall,"Trudel, Remi",MK323,B4,Marketing Management,47,4.57,47,4.77,96%,2015
Fall,"Veidenheimer, Lorri",MK323,B5,Marketing Management,46,4.35,46,4.17,92%,2015
Fall,"Utter, Deborah",MK323,B6,Marketing Management,37,4.68,37,4.84,97%,2015
Spring,"Meng, Matthew",MK445,A1,Consumer Behavior,43,4.67,43,4.86,90%,2015
Spring,"Sogut, Cansu",MK445,B1,Consumer Behavior,15,4,15,3.93,94%,2015
Fall,"Sun, Monic",MK447,A1,Marketing Research,45,4.49,45,4.73,82%,2015
Spring,"Sun, Monic",MK447,A1,Marketing Research,41,4.34,41,4.34,87%,2015
Fall,"Sun, Monic",MK447,B1,Marketing Research,46,4.35,46,4.72,98%,2015
Spring,"Sun, Monic",MK447,B1,Marketing Research,42,4.36,43,4.63,93%,2015
Fall,"Blair, James",MK447,C1,Marketing Research,20,3.5,21,3.76,91%,2015
Spring,"Sun, Monic",MK447,C1,Marketing Research,21,4.67,21,4.71,88%,2015
Fall,"Rideout, Earl",MK449,A1,Business Marketing,18,3.72,18,3.78,86%,2015
Spring,"Rideout, Earl",MK449,A1,Business Marketing,17,3.88,17,4.47,85%,2015
Spring,"King, Sandra",MK463,A1,Services Marketing and Management,38,3.5,38,3.97,81%,2015
Fall,"Utter, Deborah",MK465,A1,Retailing Management,26,4.35,26,4.38,79%,2015
Spring,"Utter, Deborah",MK465,A1,Retailing Management,44,4.66,43,4.81,90%,2015
Spring,"Rideout, Earl",MK466,A1,Selling and Partnership Development,37,3.73,37,3.97,82%,2015
Fall,"Rideout, Earl",MK467,A1,International Marketing Management,17,4.29,17,4.18,85%,2015
Spring,"Hambrick, Patricia",MK467,A1,International Marketing Management,28,4.71,27,4.81,78%,2015
Summer,"Hibbard, Jonathan",MK468,A1,Advanced Marketing Strategy,12,4.83,12,4.92,92%,2015
Fall,"Utter, Deborah",MK469,A1,Communication and Digital Media Strategies,43,4.33,43,4.6,93%,2015
Spring,"Utter, Deborah",MK469,A1,Communication and Digital Media Strategies,31,4.42,31,4.58,89%,2015
Summer,"Utter, Deborah",MK469,A1,Communication and Digital Media Strategies,11,4.82,10,4.8,100%,2015
Fall,"Utter, Deborah",MK469,B1,Communication and Digital Media Strategies,20,4.65,20,4.6,95%,2015
Fall,"Meier, Carol",MK487,A1,Branding,21,4.71,21,4.67,91%,2015
Spring,"Meier, Carol",MK487,A1,Branding,29,4.21,30,4.3,76%,2015
Fall,"Hambrick, Patricia",MK487,B1,Branding,43,4.49,42,4.24,81%,2015
Spring,"Meier, Carol",MK487,B1,Branding,34,4.56,34,4.68,97%,2015
Fall,"Deacon Carr, Sandra",OB221,B1,The Dynamics of Leading Organizations,29,4.34,29,4.79,94%,2015
Spring,"Deacon Carr, Sandra",OB221,B1,The Dynamics of Leading Organizations,34,4.12,34,4.41,103%,2015
Fall,"Hutchinson, Paul",OB221,B2,The Dynamics of Leading Organizations,33,4.52,33,4.94,94%,2015
Spring,"Rouse, Elizabeth",OB221,B2,The Dynamics of Leading Organizations,27,4,27,4.63,93%,2015
Fall,"Mandolese, Jennifer",OB221,B3,The Dynamics of Leading Organizations,29,3.97,29,4.38,83%,2015
Spring,"Reid, Erin",OB221,B3,The Dynamics of Leading Organizations,28,4.04,28,4.46,90%,2015
Fall,"Rouse, Elizabeth",OB221,B4,The Dynamics of Leading Organizations,28,4.36,28,4.64,90%,2015
Spring,"Hutchinson, Paul",OB221,B4,The Dynamics of Leading Organizations,34,4.56,34,4.82,97%,2015
Spring,"Bachman, William",OB221,B5,The Dynamics of Leading Organizations,32,4.38,32,4.94,91%,2015
Fall,"Agan, Chuck",OB221,C1,The Dynamics of Leading Organizations,29,3.93,29,4.72,100%,2015
Spring,"Agan, Chuck",OB221,C1,The Dynamics of Leading Organizations,30,4.07,30,4.77,83%,2015
Summer,"Agan, Chuck",OB221,C1,The Dynamics of Leading Organizations,16,4.44,16,4.94,89%,2015
Fall,"Hutchinson, Paul",OB221,C2,The Dynamics of Leading Organizations,33,4.33,31,4.81,100%,2015
Spring,"Reid, Erin",OB221,C2,The Dynamics of Leading Organizations,33,4.03,32,4.66,100%,2015
Fall,"Chung, Yoo Jin",OB221,C3,The Dynamics of Leading Organizations,32,4.09,32,4.59,100%,2015
Spring,"Sullivan, Richard",OB221,C3,The Dynamics of Leading Organizations,37,3.68,37,4.08,103%,2015
Fall,"French, James",OB221,C4,The Dynamics of Leading Organizations,31,4.52,31,4.87,97%,2015
Spring,"Chung, Yoo Jin",OB221,C4,The Dynamics of Leading Organizations,29,4.28,28,4.82,83%,2015
Fall,"Reid, Erin",OB221,C5,The Dynamics of Leading Organizations,29,4.07,29,4.59,91%,2015
Spring,"Mandolese, Jennifer",OB221,C5,The Dynamics of Leading Organizations,34,4.26,34,4.71,94%,2015
Fall,"McCarthy, Jack",OB221,D1,The Dynamics of Leading Organizations,32,4.22,32,4.5,89%,2015
Spring,"McCarthy, Jack",OB221,D1,The Dynamics of Leading Organizations,35,4.2,34,4.71,97%,2015
Fall,"French, James",OB221,D2,The Dynamics of Leading Organizations,35,4.23,35,4.74,100%,2015
Spring,"French, James",OB221,D2,The Dynamics of Leading Organizations,35,4.34,34,4.85,95%,2015
Fall,"Chung, Yoo Jin",OB221,D3,The Dynamics of Leading Organizations,33,4.15,32,4.91,97%,2015
Spring,"Chung, Yoo Jin",OB221,D3,The Dynamics of Leading Organizations,35,4.09,35,4.83,97%,2015
Fall,"Rouse, Elizabeth",OB221,D4,The Dynamics of Leading Organizations,36,4.17,34,4.56,100%,2015
Spring,"Reid, Erin",OB221,D4,The Dynamics of Leading Organizations,33,4.12,33,4.48,92%,2015
Fall,"Mandolese, Jennifer",OB221,D5,The Dynamics of Leading Organizations,31,3.9,31,4.68,91%,2015
Spring,"Mandolese, Jennifer",OB221,D5,The Dynamics of Leading Organizations,34,3.91,35,4.8,94%,2015
Spring,"Foulkes, Fred",OB441,A1,Human Resource Management,39,3.59,40,3.8,83%,2015
Fall,"Brown, Michael",OB448,A1,Negotiations,31,4.13,31,3.81,82%,2015
Spring,"Brown, Michael",OB448,A1,Negotiations,39,4.67,39,4.67,91%,2015
Fall,"Stolow, David",OB456,A1,Leadership and Management of Social Enterprises,15,4.8,15,4.87,88%,2015
Fall,"Deacon Carr, Sandra",OB460,A1,The Leadership Challenge,22,4.32,21,4.52,96%,2015
Spring,"Deacon Carr, Sandra",OB460,A1,The Leadership Challenge,16,4.31,16,4.63,89%,2015
Fall,"Bellamy, Marcus",OM323,A1,Operations and Technology Management,46,3.72,45,4,96%,2015
Spring,"Morrison, Paul",OM323,A1,Operations and Technology Management,36,4.33,36,4.69,92%,2015
Fall,"Ren, Z. Justin",OM323,A2,Operations and Technology Management,44,4.09,43,4.23,92%,2015
Spring,"Kadets, Barry",OM323,A2,Operations and Technology Management,42,4.48,43,4.84,89%,2015
Fall,"Morrison, Paul",OM323,A3,Operations and Technology Management,42,4.38,42,4.81,88%,2015
Spring,"Berry Jaeker, Jillian",OM323,A3,Operations and Technology Management,37,4.24,36,4.33,84%,2015
Fall,"Kadets, Barry",OM323,A4,Operations and Technology Management,48,4.29,48,4.48,100%,2015
Fall,"Cameron, Kellas",OM323,A5,Operations and Technology Management,46,4.37,47,4.83,98%,2015
Fall,"Berry Jaeker, Jillian",OM323,A6,Operations and Technology Management,35,4.11,35,4.03,95%,2015
Fall,"Akkas, Arzum",OM323,B1,Operations and Technology Management,45,3.96,46,3.72,90%,2015
Spring,"Parker, Delvon",OM323,B1,Operations and Technology Management,35,4.51,34,4.68,88%,2015
Fall,"Beebe, Jonathan",OM323,B2,Operations and Technology Management,44,4.34,44,4.66,88%,2015
Spring,"Kadets, Barry",OM323,B2,Operations and Technology Management,38,4.21,39,4.74,78%,2015
Fall,"Berry Jaeker, Jillian",OM323,B3,Operations and Technology Management,39,4.18,40,4.03,87%,2015
Spring,"Pandey, Rakesh",OM323,B3,Operations and Technology Management,43,4.42,42,4.52,96%,2015
Fall,"Kadets, Barry",OM323,B4,Operations and Technology Management,46,4.24,46,4.59,94%,2015
Fall,"Lee, Yoo Taek",OM323,B5,Operations and Technology Management,45,4.53,45,4.67,90%,2015
Fall,"Morrison, Paul",OM323,B6,Operations and Technology Management,37,4.57,37,4.92,97%,2015
Fall,"Rosenthal, Stephen",OM440,A1,Operations Strategy,23,4.43,22,4.64,88%,2015
Spring,"Rosenthal, Stephen",OM440,A1,Operations Strategy,34,4.29,34,4.21,87%,2015
Spring,"Rosenthal, Stephen",OM440,B1,Operations Strategy,41,3.83,42,3.95,95%,2015
Fall,"Pandey, Rakesh",OM441,A1,Operations Analysis,19,4.26,18,4.06,83%,2015
Spring,"Pandey, Rakesh",OM441,A1,Operations Analysis,37,3.51,37,3.38,82%,2015
Fall,"Pandey, Rakesh",OM441,B1,Operations Analysis,38,3.74,37,4.16,93%,2015
Spring,"Morrison, Paul",OM447,A1,Operations Management in Service Sector,22,4.77,22,4.91,92%,2015
Fall,"Rosenthal, Stephen",OM453,A1,Project Management,12,4.5,12,4.5,92%,2015
Fall,"Robertson, Ian",OM465,A1,Improving Quality: Six Sigma Certification,19,4.47,19,4.32,83%,2015
Spring,"Lee, Yoo Taek",OM465,A1,Improving Quality: Six Sigma Certification,16,4.44,16,4.69,62%,2015
Spring,"Lee, Yoo Taek",OM467,A1,Global Supply Management,14,4.86,14,4.93,88%,2015
Spring,"Cohen, Alan",PL425,A1,Introduction to the Health Sector (pilot),9,4.78,9,4.56,100%,2015
Spring,"Cohen, Alan",PL430,A1,The U.S. Healthcare System in Transition,5,5,5,5,100%,2015
Fall,"Kean, Mark",QM221,A1,Probabilistic & Statistical Decision Making for Management,214,4.27,214,4.68,73%,2015
Fall,"Kean, Mark",QM221,A2,Probabilistic & Statistical Decision Making for Management,140,4.39,140,4.81,70%,2015
Fall,"Anastasi, Tom",QM221,B1,Probabilistic & Statistical Decision Making for Management,19,3.74,19,3.37,63%,2015
Fall,"Parker, Kenneth",QM221,B2,Probabilistic & Statistical Decision Making for Management,32,4.31,32,4.44,74%,2015
Fall,"Anastasi, Tom",QM221,B3,Probabilistic & Statistical Decision Making for Management,28,3.32,28,3.11,67%,2015
Fall,"Kean, Mark",QM221,B4,Probabilistic & Statistical Decision Making for Management,45,4.51,45,4.84,96%,2015
Fall,"Kean, Mark",QM221,B5,Probabilistic & Statistical Decision Making for Management,32,4.5,32,4.94,78%,2015
Fall,"Kadets, Barry",QM221,B6,Probabilistic & Statistical Decision Making for Management,42,4.38,42,4.55,89%,2015
Fall,"Kean, Mark",QM221,B7,Probabilistic & Statistical Decision Making for Management,42,4.29,41,4.8,91%,2015
Fall,"Kadets, Barry",QM221,B8,Probabilistic & Statistical Decision Making for Management,45,4.2,44,4.45,80%,2015
Fall,"Zheng, Sarah",QM221,B9,Probabilistic & Statistical Decision Making for Management,25,3.72,25,3.48,61%,2015
Fall,"Parker, Kenneth",QM221,C1,Probabilistic & Statistical Decision Making for Management,39,4.23,39,4.46,83%,2015
Fall,"Kean, Mark",QM221,C2,Probabilistic & Statistical Decision Making for Management,40,4.28,41,4.8,75%,2015
Fall,"Lin, Shuheng",QM222,A1,Modeling Business Decisions & Market Outcomes,36,3.86,36,3.75,73%,2015
Fall,"Ericson, Keith",QM222,B1,Modeling Business Decisions & Market Outcomes,45,3.87,45,3.87,85%,2015
Fall,"Kahn, Shulamit",QM222,C1,Modeling Business Decisions & Market Outcomes,43,4.33,43,4.23,78%,2015
Fall,"Kahn, Shulamit",QM222,D1,Modeling Business Decisions & Market Outcomes,30,4.33,30,4.5,81%,2015
Fall,"Ericson, Keith",QM222,E1,Modeling Business Decisions & Market Outcomes,45,4.27,46,4.26,92%,2015
Fall,"Kahn, Shulamit",QM222,F1,Modeling Business Decisions & Market Outcomes,39,4.1,39,4.21,72%,2015
Fall,"Shukla, Tanmay",QM222,G1,Modeling Business Decisions & Market Outcomes,41,3.95,42,3.98,87%,2015
Fall,"Pandey, Rakesh",QM323,A1,Analytics,44,3.36,44,3.23,92%,2015
Spring,"Osher, Keith",QM323,A1,Analytics,36,2.58,38,3.18,92%,2015
Fall,"Osher, Keith",QM323,A2,Analytics,43,2.81,43,3.26,90%,2015
Spring,"Pandey, Rakesh",QM323,A2,Analytics,47,2.4,47,2.32,100%,2015
Fall,"Steinbuch, Pearl",QM323,A3,Analytics,46,2.72,46,2.72,96%,2015
Spring,"MacGarvie, Megan",QM323,A3,Analytics,41,3.22,41,4.02,93%,2015
Fall,"Karpovsky, Anna",QM323,A4,Analytics,44,2.52,44,3.32,92%,2015
Fall,"Parker, Kenneth",QM323,A5,Analytics,45,2.44,46,2.37,96%,2015
Fall,"MacGarvie, Megan",QM323,A6,Analytics,37,3.76,37,4.32,100%,2015
Fall,"Pandey, Rakesh",QM323,B1,Analytics,48,4.1,48,4.5,96%,2015
Spring,"MacGarvie, Megan",QM323,B1,Analytics,37,3.43,36,3.53,93%,2015
Fall,"Osher, Keith",QM323,B2,Analytics,49,3.14,49,3.63,98%,2015
Spring,"Parker, Kenneth",QM323,B2,Analytics,46,2.33,46,2.65,94%,2015
Fall,"MacGarvie, Megan",QM323,B3,Analytics,35,4.29,35,4.54,78%,2015
Spring,"Osher, Keith",QM323,B3,Analytics,40,2.58,41,3.29,89%,2015
Fall,"Karpovsky, Anna",QM323,B4,Analytics,42,2.71,42,3.33,86%,2015
Fall,"Parker, Kenneth",QM323,B5,Analytics,35,3.6,35,3.69,70%,2015
Fall,"Steinbuch, Pearl",QM323,B6,Analytics,35,3.31,36,4.11,92%,2015
Spring,"Maurer, Robert",QM450,A1,Business Analytics: Spreadsheet Optimization and Simulation,25,4.04,25,4.2,93%,2015
Fall,"LiPuma, Joseph",SI422,A1,"Strategy, Innovation, and Global Competition",38,3.87,38,3.97,90%,2015
Spring,"Collier, Gregory",SI422,A1,Strategy and Policy,28,4.39,27,4.7,82%,2015
Summer,"Molander, Erik",SI422,A1,"Strategy, Innovation, and Global Competition",26,4.62,28,4.54,60%,2015
Summer,"Watson, Jeremy",SI422,A2,"Strategy, Innovation, and Global Competition",25,4.2,25,4.52,71%,2015
Fall,"Cosway, Paul",SI422,B1,"Strategy, Innovation, and Global Competition",3,5,3,4.67,7%,2015
Spring,"LiPuma, Joseph",SI422,B1,Strategy and Policy,29,3.83,29,3.72,85%,2015
Fall,"McManus, Paul",SI422,C1,"Strategy, Innovation, and Global Competition",30,4.53,30,4.67,88%,2015
Spring,"Kirks, John",SI422,C1,Strategy and Policy,41,4.71,41,4.95,95%,2015
Fall,"Kirks, John",SI422,D1,"Strategy, Innovation, and Global Competition",41,4.71,41,4.83,91%,2015
Spring,"Cosway, Paul",SI422,D1,Strategy and Policy,21,4,21,4.33,70%,2015
Fall,"LiPuma, Joseph",SI422,E1,"Strategy, Innovation, and Global Competition",37,4.08,38,4.32,86%,2015
Spring,"LiPuma, Joseph",SI422,E1,Strategy and Policy,33,3.79,33,2.97,85%,2015
Fall,"Marton, Peter",SI422,F1,"Strategy, Innovation, and Global Competition",27,4.3,27,4.44,77%,2015
Spring,"Kirks, John",SI422,F1,Strategy and Policy,42,4.67,42,4.83,95%,2015
Fall,"McManus, Paul",SI422,G1,"Strategy, Innovation, and Global Competition",34,4.82,33,4.88,89%,2015
Spring,"Molander, Erik",SI422,G1,Strategy and Policy,34,4.65,33,4.76,85%,2015
Fall,"Kirks, John",SI422,H1,"Strategy, Innovation, and Global Competition",41,4.63,41,4.61,91%,2015
Spring,"McManus, Paul",SI422,H1,Strategy and Policy,32,4.09,32,4.25,86%,2015
Fall,"Cosway, Paul",SI422,I1,"Strategy, Innovation, and Global Competition",14,4.14,14,4.07,88%,2015
Spring,"McManus, Paul",SI422,I1,Strategy and Policy,28,4.29,28,4.54,72%,2015
Fall,"Uttam, Bahar",SI422,J1,"Strategy, Innovation, and Global Competition",35,3.63,35,4,83%,2015
Spring,"McManus, Paul",SI430,A1,Multidisciplinary Sustainable Energy Practicum,8,4.5,8,4.5,100%,2015
Fall,"Marton, Peter",SI444,A1,Entrepreneurship: Solving Problems in a Dynamic World,13,4.15,13,4.62,93%,2015
Spring,"Mashiter, Ian",SI444,A1,Entrepreneurship,33,4.33,33,4.7,79%,2015
Fall,"Stoller, Gregory",SI445,A1,Managing a Growing Enterprise,20,4.9,20,5,77%,2015
Spring,"Molander, Erik",SI445,A1,Small Business Management,25,4.56,25,4.76,66%,2015
Spring,"Grodal, Stine",SI451,A1,Organizing for Design and Innovation,12,4.25,11,4.27,60%,2015
Spring,"Fabrizio, Kira",SI453,A1,Strategies for Environmental Sustainability,12,4.92,12,5,100%,2015
Spring,"Munsell, Keith",SI469,A1,Real Estate Development,18,4.83,18,5,95%,2015
Spring,"Wang, Yanbo",SI471,A1,International Entrepreneurship,26,4.04,26,4.23,62%,2015
Fall,"Mashiter, Ian",SI480,A1,The Business of Technology Innovation,29,4.59,30,4.67,69%,2015
Spring,"Mashiter, Ian",SI480,A1,The Business of Technology Innovation,23,4.35,24,4.88,57%,2015
Fall,"Gupta, Rana",SI480,B1,The Business of Technology Innovation,25,4.2,25,4.08,93%,2015
Spring,"Uttam, Bahar",SI480,B1,The Business of Technology Innovation,34,4.24,34,4.32,97%,2015
Fall,"Uttam, Bahar",SI480,C1,The Business of Technology Innovation,19,4.79,19,4.89,95%,2015
Spring,"Gupta, Rana",SI480,C1,The Business of Technology Innovation,23,4.52,23,4.48,96%,2015
Fall,"Fox, John",SI482,A1,Strategy for Technology-Based Firms,36,4.44,35,4.43,82%,2015
Spring,"Cockburn, Iain",SI482,A1,Technology and its Commercialization,29,3.9,29,4.21,69%,2015
Fall,"Morrison, Paul",SM101,A1,Introduction to Business (for non-majors),27,4.26,27,4.59,93%,2015
Summer,"Allen, Jeffrey",SM101,A1,Introduction to Business (for non-majors),6,5,6,5,75%,2015
Summer,"Morrison, Paul",SM101,B1,Introduction to Business (for non-majors),10,4.7,10,4.7,56%,2015
Summer,"Asadoorian, Ann Marie",SM104,A1,Introduction to Finance (for non-majors),8,4.63,8,4.75,89%,2015
Summer,"King, Sandra",SM105,A1,Introduction to Marketing,20,4.6,19,4.84,83%,2015
Spring,"Bartlett, Todd",SM108,A1,Career Management Seminar 1,28,3.46,27,3.85,78%,2015
Fall,"Tristani, Tony",SM108,B1,Explore Your Career,32,4.56,30,4.9,89%,2015
Spring,"Rayel, Victoria",SM108,B1,Career Management Seminar 1,36,2.83,36,4.25,95%,2015
Fall,"Dreilinger, Rachel",SM108,C1,Explore Your Career,33,4,34,4.59,92%,2015
Fall,"Dreilinger, Rachel",SM108,D1,Explore Your Career,33,4.15,33,4.76,92%,2015
Spring,"Bartlett, Todd",SM108,D1,Career Management Seminar 1,23,3.17,24,4.17,85%,2015
Fall,"Tristani, Tony",SM108,E1,Explore Your Career,28,4.57,28,4.89,97%,2015
Spring,"Rayel, Victoria",SM108,E1,Career Management Seminar 1,39,2.95,39,3.79,87%,2015
Fall,"Rayel, Victoria",SM108,F1,Explore Your Career,29,3.83,29,4.38,81%,2015
Spring,"Rayel, Victoria",SM108,F1,Career Management Seminar 1,14,2.57,14,3.71,82%,2015
Fall,"Rayel, Victoria",SM108,F2,Explore Your Career,27,3.81,27,4.41,79%,2015
Summer,"Newell, Cornelia",SM131,A1,"Business, Society and Ethics",38,3.97,38,4.39,95%,2015
Summer,"Newell, Cornelia",SM131,A2,"Business, Society and Ethics",37,4.08,37,4.68,90%,2015
Summer,"Newell, Cornelia",SM131,A3,"Business, Society and Ethics",39,3.72,39,4.49,95%,2015
Fall,"Newell, Cornelia",SM131,C2,"Business, Society and Ethics",33,4.33,33,4.73,97%,2015
Fall,"Nichols, Rebecca",SM131,C3,"Business, Society and Ethics",35,4.51,35,4.94,97%,2015
Fall,"Dixon, J. Robb",SM131,C4,"Business, Society and Ethics",32,4.09,31,4.84,97%,2015
Fall,"Chang, Kabrina",SM131,D2,"Business, Society and Ethics",33,4.48,33,4.88,97%,2015
Fall,"Nichols, Rebecca",SM131,D3,"Business, Society and Ethics",34,4.56,35,4.89,97%,2015
Fall,"McGinnis, Phyllis",SM131,D4,"Business, Society and Ethics",35,4.34,34,4.94,95%,2015
Fall,"Reis, Matthew",SM131,E2,"Business, Society and Ethics",35,4.43,34,4.82,100%,2015
Fall,"Fazendeiro, Fatema",SM131,E3,"Business, Society and Ethics",40,4.4,40,4.93,111%,2015
Fall,"Dixon, J. Robb",SM131,E4,"Business, Society and Ethics",36,4.33,36,4.78,97%,2015
Fall,"Reis, Matthew",SM131,F2,"Business, Society and Ethics",33,4.42,34,4.97,89%,2015
Fall,"Freedman, James",SM131,F3,"Business, Society and Ethics",34,4.03,35,4.46,92%,2015
Fall,"Dixon, J. Robb",SM131,G2,"Business, Society and Ethics",38,4.45,38,4.68,90%,2015
Spring,"Chang, Kabrina",SM131,G2,"Business, Society and Ethics",33,4.58,33,4.94,80%,2015
Fall,"McGinnis, Phyllis",SM131,G3,"Business, Society and Ethics",29,4.34,29,4.72,71%,2015
Spring,"Dixon, J. Robb",SM131,G3,"Business, Society and Ethics",34,4.15,34,4.59,85%,2015
Spring,"McGinnis, Phyllis",SM131,G4,"Business, Society and Ethics",29,4.28,29,4.62,71%,2015
Spring,"Davidson, Stephen",SM131,G5,"Business, Society and Ethics",29,3.72,29,4.07,78%,2015
Fall,"Newell, Cornelia",SM131,H2,"Business, Society and Ethics",39,4.28,39,4.9,93%,2015
Spring,"Newell, Cornelia",SM131,H2,"Business, Society and Ethics",32,4,32,4.72,82%,2015
Fall,"Nichols, Rebecca",SM131,I2,"Business, Society and Ethics",39,4.33,39,4.69,100%,2015
Spring,"Nichols, Rebecca",SM131,I2,"Business, Society and Ethics",36,4.28,36,4.83,97%,2015
Fall,"Meier, Carol",SM131,I3,"Business, Society and Ethics",34,4.24,34,4.82,89%,2015
Spring,"Meier, Carol",SM131,I3,"Business, Society and Ethics",31,4.26,30,4.73,82%,2015
Fall,"Davidson, Stephen",SM131,J2,"Business, Society and Ethics",34,4.09,36,3.58,83%,2015
Spring,"McGinnis, Phyllis",SM131,J2,"Business, Society and Ethics",36,4.33,37,4.76,90%,2015
Fall,"Fazendeiro, Fatema",SM131,K2,"Business, Society and Ethics",37,4.38,37,4.78,90%,2015
Spring,"Nichols, Rebecca",SM131,K2,"Business, Society and Ethics",32,4.47,33,4.76,84%,2015
Fall,"Fazendeiro, Fatema",SM131,L2,"Business, Society and Ethics",31,4.48,31,4.94,84%,2015
Spring,"Nichols, Rebecca",SM131,L2,"Business, Society and Ethics",31,4.77,31,4.87,94%,2015
Fall,"Schadae Percelay, Elisabeth",SM131,L3,"Business, Society and Ethics",34,4.21,34,4.44,81%,2015
Spring,"Davidson, Stephen",SM131,L3,"Business, Society and Ethics",28,3.64,28,3.39,76%,2015
Fall,"Davidson, Stephen",SM131,L4,"Business, Society and Ethics",33,3.58,33,3.58,79%,2015
Spring,"Fazendeiro, Fatema",SM131,L4,"Business, Society and Ethics",39,3.74,39,4.62,93%,2015
Summer,"McGinnis, Phyllis",SM151,A1,Creating Value in the Global Economy,8,4.38,8,5,31%,2015
Fall,"McGinnis, Phyllis",SM151,A2,Creating Value in the Global Economy,28,3.89,27,4.7,76%,2015
Spring,"McGinnis, Phyllis",SM151,A2,Creating Value in the Global Economy,28,3.89,29,4.48,78%,2015
Fall,"McGinnis, Phyllis",SM151,A3,Creating Value in the Global Economy,24,3.08,24,4.29,67%,2015
Spring,"Dixon, J. Robb",SM151,A3,Creating Value in the Global Economy,34,3.21,34,3.68,85%,2015
Spring,"McGinnis, Phyllis",SM151,B2,Creating Value in the Global Economy,25,3.2,25,3.96,63%,2015
Spring,"Hutchinson, Paul",SM151,B3,Creating Value in the Global Economy,35,3.83,35,4.57,85%,2015
